ID,Nombre,Edad,Género,Ubicación,Grado_escolar,Horas_de_uso_diario,Horas_de_sueño,Rendimiento_académico,Interacciones_sociales,Horas_de_ejercicio,Nivel_de_ansiedad,Nivel_de_depresión,Autoestima,Control_parental,Tiempo_antes_de_acostarse,Chequeos_del_celular_por_día,Aplicaciones_usadas_a_diario,Tiempo_en_redes_sociales,Tiempo_en_el_juego,Tiempo_en_Educación,Propósito_del_uso_del_teléfono,Comunicación_familiar,Horas_de_uso_en_finde,Nivel_de_adicción
1281,Jennifer Wood,19,Mujer,Lake Jessica,9,4.3,6.8,67,8,1.8,3,7,5,1,1.3,129,12,1.8,1.1,1.4,Educación,4,4.7,8.8
1282,Isabel Rios,17,Mujer,North Michelle,10,3.7,5.5,84,1,0.5,10,5,6,0,0.8,98,6,3,0.9,1.3,Redes sociales,3,4.5,8
1283,April Harris,19,Otro,Greenport,12,7.4,4.3,86,2,0,9,10,7,0,0.6,73,15,3.3,3.3,1.9,Otro,7,8.1,10
1284,Annette Jones,17,Mujer,Saraborough,9,4,7.5,54,9,1.2,6,6,8,1,1.3,130,11,3.1,2.8,1.4,Educación,10,10.8,10
1285,Yesenia Vasquez,16,Otro,South Ronald,10,3.8,6.4,86,9,0,9,9,5,0,0.4,20,20,2.6,1.5,1.9,busquedas,1,2.5,9.1
1286,Carly Banks,18,Otro,Hutchinsonhaven,11,5.7,4,68,3,0,7,9,10,1,0.3,149,8,4.6,1.6,0.8,Redes sociales,6,4.7,10
1287,Scott Wells,13,Otro,Maddoxview,7,3.9,7.8,72,10,1.8,5,7,1,0,1.5,145,20,1.4,1.5,0.6,busquedas,4,10.5,9.8
1288,Brianna Smith,15,Varon,Port Alejandrochester,12,5.9,7.1,86,9,0.6,8,4,6,1,0.4,61,10,0.7,1.9,1.6,Redes sociales,7,4.5,8.2
1289,Michael Armstrong,13,Varon,New Calvinhaven,9,3.2,7,100,3,0.6,5,8,5,1,0.5,35,11,2.2,1.6,0.7,busquedas,1,8.3,6.4
1290,Jade Parker,18,Otro,Donaldshire,10,4.3,5.9,62,4,0.6,1,6,3,0,1.9,144,11,0.4,1.8,1.6,Redes sociales,1,10.2,8.6
1291,Judy Yu,14,Mujer,East Victorfurt,7,5.4,5.1,92,1,0,1,4,1,1,0.9,146,8,3.1,1.7,1.4,Otro,10,3.8,10
1292,Angela Henderson,19,Varon,Kylemouth,12,6.2,6.1,88,6,1.9,6,10,5,1,0.9,86,18,3.8,0.4,0.8,busquedas,9,5.3,10
1293,Shannon Lane,14,Otro,Lake Davidborough,7,2.4,7.9,69,6,1.2,7,7,8,1,0.4,68,8,1.6,0.1,1.3,Redes sociales,5,4,3.1
1294,Chloe Stone,16,Mujer,Atkinsonshire,10,3.3,6.8,95,10,1.3,2,9,4,1,0.8,129,9,4.3,2.5,0.2,Educación,10,5.4,10
1295,Monica Nguyen,14,Varon,Markshire,8,8.1,9.3,54,3,0.3,7,1,9,1,1.6,118,20,2.9,1.4,1.4,Otro,1,6.5,10
1296,Christy Nelson,13,Mujer,South Heather,7,5.9,7.3,68,0,0.2,1,3,6,0,1.8,64,15,4.3,1.2,2,Educación,4,10.5,10
1297,Stephanie Martinez,17,Otro,Kathrynmouth,9,4.1,7.3,93,7,0.7,9,5,3,0,2,118,9,3.5,0.7,0.5,busquedas,10,5.1,8.8
1298,Chad Johnston,17,Mujer,Port Zacharyside,12,5.8,4,67,3,1.8,3,2,5,1,0,141,12,2.7,0.6,0.7,Redes sociales,1,6.4,10
1299,Danielle Adams,16,Varon,Jaclynborough,9,3.8,5.7,58,10,0.7,1,6,5,0,1.3,70,19,1.3,2.5,1.2,busquedas,6,6.5,10
1300,Stephen Robles,18,Varon,Lake Yolandaburgh,7,6,9.5,95,3,1.6,1,5,5,1,0,22,16,3.3,1.4,0.4,Redes sociales,1,7.3,9.6
1301,Gina Miller,16,Otro,Briannastad,7,3.9,6.5,70,0,0.7,9,1,1,0,1.3,74,6,2.5,1.7,0.4,Otro,1,8.1,7.5
1302,Jeffrey Roberts,16,Mujer,Katherinebury,11,7,7,98,3,1.3,2,3,10,1,1.4,29,17,3.8,2,0.9,Redes sociales,6,8.1,10
1303,Alex Tanner,18,Varon,Kiarachester,12,8.1,5,58,2,0.9,2,3,5,0,1.6,30,15,3.5,1.6,0.8,Juego,6,5.1,10
1304,David Turner,15,Varon,West Sarah,12,3.2,8.7,58,4,0.6,8,3,4,1,1.4,26,20,3.4,2.1,0.5,Educación,5,7.7,8.9
1305,Jennifer Wright,15,Mujer,Joshuaport,10,7.3,6.9,50,1,1.1,10,10,1,0,0.3,130,17,3.7,1.6,0.1,Educación,9,8.3,10
1306,Jessica Moore,15,Otro,East Troy,8,6.2,6.8,99,8,0,10,1,6,0,0.7,102,8,1.8,1.6,2.3,Redes sociales,10,3.9,9.8
1307,John Alvarado,18,Mujer,Joannamouth,10,5.2,9.2,72,6,1.4,5,5,9,0,1.4,45,14,2.9,0.8,1.7,busquedas,3,8.6,8
1308,Julie Thornton,18,Mujer,North Angela,10,4.3,9,58,0,0.8,7,3,3,1,1.1,70,20,1.7,0.3,1.1,busquedas,3,7.1,7.2
1309,Janet Miller,17,Mujer,Christianshire,9,8.3,6.8,83,8,0.5,5,8,1,0,0.8,35,15,1.1,1.7,1.1,Juego,3,4.9,10
1310,Amy Peterson,18,Varon,Sheilaborough,12,4.5,3,67,2,3.6,2,5,10,0,0.5,129,8,2.5,1.5,0.4,Otro,2,7.2,10
1311,Angel Hale,16,Mujer,Hugheschester,10,5.4,9.8,85,1,0.2,8,7,6,1,0.9,20,18,3.2,0.6,1,Juego,7,5.2,8.3
1312,Kimberly Miller,13,Varon,Bakerview,8,3.6,6.8,50,1,0.1,9,1,6,1,0,40,20,2.4,4,1.4,Otro,2,5.3,10
1313,Janet Smith,13,Otro,Bradleybury,7,3,10,84,3,1.9,8,2,3,1,1.4,119,19,2.6,0.5,1.1,Educación,8,9.5,7.3
1314,Emily Daniels,17,Varon,Marcusside,9,5.8,6,53,0,1.7,9,5,6,1,1,125,14,5,2.5,0.5,busquedas,2,5.3,10
1315,William Mueller,18,Mujer,North Elizabethchester,8,4.1,6.7,56,5,0.8,2,9,7,0,1,121,12,4.9,4,1.2,Juego,6,7.2,10
1316,Gabriel Kemp,19,Otro,Bradland,8,2.2,7.4,56,8,0.4,10,7,3,0,0.5,58,14,1.4,1.7,0.9,Juego,9,6.1,5.6
1317,Edward Gibbs,14,Varon,South Catherine,8,5.3,6.1,90,2,1.3,6,8,4,1,0.1,141,12,2,3.1,1.7,Juego,6,5.5,10
1318,Rachel Carter,13,Otro,West Sherryberg,10,1.1,7.7,52,7,1.1,4,6,4,1,1.4,89,19,0.9,2.5,1.1,Juego,3,6.3,6.2
1319,Steven Schultz,13,Otro,West Elizabethland,7,5.6,6.8,78,2,0,10,3,5,0,1.3,125,11,1.3,1.7,1.1,Juego,3,8.4,9.9
1320,Mr. Joseph Brown MD,15,Mujer,North Ericborough,12,2.6,4.7,86,7,1.6,6,9,1,0,0.6,145,15,3.8,2.2,1,busquedas,2,6.4,10
1321,Donna Lewis,16,Otro,Howardfurt,7,5.1,3.3,69,4,0.8,9,8,2,1,1.5,65,15,2.7,2.6,1.9,Redes sociales,9,2.8,10
1322,Todd Patel,16,Mujer,Wilsonburgh,7,6.3,5.7,55,10,1.5,2,7,3,1,0.3,61,7,3.1,0,1.9,Juego,2,5.2,9.2
1323,Nicholas Nichols,18,Varon,North Jennifer,10,6.5,5.5,64,5,0,6,10,5,1,0,67,14,2.4,0.3,0.6,Educación,5,4.7,10
1324,Sara Cunningham,13,Mujer,New Gabrielle,9,6,6.4,89,6,2.1,8,9,3,1,1,96,9,0.5,0.8,2.3,Redes sociales,8,5.4,7.8
1325,Michael Higgins,16,Mujer,Lake Patrickberg,7,7.9,5.2,84,9,0.3,3,7,3,0,0.5,108,12,3,2.1,1.5,Redes sociales,3,3.3,10
1326,Nicole Nguyen,15,Varon,South Joseph,7,7.7,5.8,86,8,1.4,7,8,7,0,1.3,76,11,2.9,3.7,1.2,busquedas,5,8.6,10
1327,Adrienne Hernandez,17,Varon,Rodriguezburgh,11,6.2,7.3,65,5,0.8,2,10,7,1,0.7,41,7,2.8,2.3,0.2,Juego,2,6.6,9.9
1328,James Waller MD,19,Otro,Samuelport,9,2.3,8.5,93,10,1,10,2,1,1,0.9,90,12,1.9,1.6,0,busquedas,8,6.1,5.8
1329,Elizabeth Adams,13,Otro,Berrymouth,11,5.2,8.5,82,5,1.1,3,1,8,1,0,58,15,2,3.1,1.4,Educación,6,8.6,10
1330,William Sanchez,13,Otro,Patelton,10,8.7,6.6,54,7,2.6,5,7,3,0,2,89,17,1.8,2.6,1.2,Juego,7,1.3,10
1331,Derek Cox,16,Otro,Lauratown,8,3.9,5.9,95,0,0,7,3,9,1,1.4,69,6,1.5,2.3,2.6,Redes sociales,7,5.5,7.3
1332,Miss Mary Smith MD,15,Varon,Lake Emily,9,4,9.5,58,10,1,7,4,9,1,0.7,31,12,2.1,2.9,1,Juego,9,10.3,7.3
1333,Lisa Hernandez,17,Otro,Tinaburgh,10,4.5,5.1,95,6,0.2,9,5,10,0,1,20,19,2.7,0.9,1.2,Juego,4,4,9.8
1334,Crystal Grant,14,Mujer,Port John,9,6.6,6.2,92,6,0.8,7,2,2,0,0.9,106,13,3.2,0.1,0,Educación,4,3.8,10
1335,Shawn Kelly,14,Otro,Bridgetfurt,12,7.5,5.3,86,1,0.5,9,3,3,0,1.5,135,6,2.5,0,0.2,Otro,7,5.4,10
1336,Christina Combs,18,Varon,South Mary,12,3.9,8.2,97,8,0.3,2,4,7,1,0.5,35,19,2.1,0,1,busquedas,4,7.1,6.4
1337,Richard Thomas,15,Otro,Youngmouth,12,5.1,5.8,100,10,1.8,2,10,6,1,0,123,20,1.8,2.5,0.6,Redes sociales,10,6.5,10
1338,Brittany Murray,13,Varon,Rachelberg,9,0.6,9.9,68,4,1.5,1,1,8,1,0.6,82,19,1.4,1.5,0.7,busquedas,7,6.2,4
1339,Michael Bridges,19,Varon,East Morgan,11,4,3.8,92,2,1,8,4,6,1,1.8,123,7,4.2,2.6,1.1,Educación,5,2.7,10
1340,John Buchanan,19,Otro,Nicholashaven,9,4.2,6.4,84,6,1.4,4,8,10,0,1.1,86,5,2.1,0,1,Redes sociales,3,3.7,5.8
1341,Laura Archer,16,Varon,West Jeanetteborough,9,7.1,4.6,72,8,0,6,2,7,0,0.6,109,18,3.1,1.5,1.4,Educación,1,5.6,10
1342,William Snyder,19,Mujer,Eatonton,12,8.1,5.2,82,0,0.1,7,9,5,1,1.8,70,19,3,0.9,0.1,Educación,8,5.3,10
1343,Edward Watkins,19,Otro,Stevensborough,12,5.2,7.5,98,5,0.7,6,7,5,1,0.6,115,11,2.4,1.3,1.7,Redes sociales,1,7.2,9.6
1344,Michelle Dunn,17,Mujer,Port Sarah,12,2.3,4.3,56,4,0.2,10,8,6,1,1,72,10,2.1,2.1,2.6,Redes sociales,3,6.1,7.8
1345,William Morrow,17,Varon,Bellmouth,8,7,5.7,52,4,2,10,1,7,1,1.2,30,19,1.8,2.4,1.3,busquedas,3,9.1,10
1346,Mike Morgan,15,Otro,Jessicamouth,7,5.8,4.8,62,9,0,5,1,9,1,0.9,28,13,4.4,1.8,1.5,Otro,1,11.1,10
1347,Cassandra Smith,13,Otro,Thomasport,11,6,4.3,97,10,0.8,5,9,7,0,0.1,33,17,4.2,1,0.5,Educación,3,7.4,10
1348,Jennifer Sims MD,14,Varon,New Justinside,10,3,6.1,74,4,1.2,2,9,7,1,0,63,17,0.7,3.2,1.9,Juego,6,5.4,8.5
1349,Ricardo Myers,16,Varon,New Joshuaport,12,6.5,6.3,99,9,1.1,1,2,6,0,1.2,110,17,2.2,0.8,0.5,Educación,2,2.9,10
1350,Mikayla Martinez,13,Otro,New Justinton,10,5.2,5.8,97,4,0.8,9,8,5,1,1.6,149,7,3,2.2,0.2,Juego,4,7.6,10
1351,Richard Rodriguez,16,Mujer,Port Joseview,8,3.2,6.5,89,8,1.1,10,10,2,1,0.6,61,20,1.9,0.8,1.4,Redes sociales,4,6.4,7.9
1352,Kathryn Meyers,17,Otro,Lake Jessicastad,8,6.6,5.4,91,6,1.4,6,6,7,1,1.3,137,17,0.2,2,1.8,Otro,8,10,10
1353,Jason Ford,19,Otro,Codyshire,8,5.4,7.6,51,0,0.8,1,9,1,1,1.5,21,5,1.9,3.6,0.7,busquedas,7,6.3,8.5
1354,Bryan Blackwell,14,Varon,Port William,7,4.2,8.1,85,9,2.3,5,2,9,1,0.9,85,17,2.7,3,0.8,busquedas,3,5.3,10
1355,Emily Phelps,18,Varon,Malonemouth,8,7.2,6.7,62,7,1.1,7,6,3,1,1,32,15,3.2,0.2,1.9,Juego,3,3.9,10
1356,Joshua Benson,15,Varon,Lake Mallory,9,4.4,4.7,80,9,1.4,10,5,10,0,1.2,146,12,3,1.9,1.2,Juego,1,7.2,10
1357,Gerald Sutton,19,Varon,Veronicaberg,8,7.9,5.7,89,4,0.8,1,2,6,1,1.6,97,10,1.9,1.7,1.1,Redes sociales,10,4.9,10
1358,Christine Ward,15,Otro,West Danielle,7,4.7,4.7,51,7,0,4,7,9,0,1.2,140,10,2.4,0,0.5,busquedas,1,3.4,9.6
1359,Brian Reynolds,14,Otro,New Shelby,11,4.1,8.3,85,1,0.2,3,9,7,1,0.6,39,6,2.6,1.5,0.4,Juego,1,5.9,6
1360,Lauren Montgomery,16,Varon,West Anna,8,6.6,4.9,60,8,0,2,1,8,1,1.3,86,6,3.5,2.5,0.9,Redes sociales,6,5,10
1361,Jeremy Wheeler,16,Mujer,Beckerbury,8,5.9,9.1,72,0,1.2,2,4,6,1,1,108,18,3.1,0,1.4,busquedas,2,4.4,10
1362,Ashley Foley,18,Mujer,South Dianeland,9,7.8,8.6,60,1,0.5,7,4,2,1,1.7,80,6,4,1.4,0.7,Juego,7,7.2,10
1363,Bobby Sellers,18,Varon,East Christian,7,2.5,7,96,2,1.2,4,10,8,1,0.5,134,10,2.6,1.6,1,Redes sociales,2,5.8,7.9
1364,Maria Peterson,16,Otro,New Rodney,8,6.4,8.3,80,5,1.4,5,7,7,1,0.8,45,12,3.8,1.4,2.1,Redes sociales,7,5.6,10
1365,Rhonda Cox,16,Otro,Lynchstad,9,4.2,7.5,75,1,2.6,4,4,10,0,1.4,72,16,0.6,1.4,1.2,Juego,1,4.4,7.1
1366,Richard Humphrey,14,Otro,East Stephanie,12,4,6.5,67,9,1.8,6,1,1,1,1.2,133,11,2.4,0,0.8,Redes sociales,1,5.5,8
1367,Michael Blankenship,19,Otro,Jeffreyberg,7,6.4,5,90,7,0.8,8,4,1,0,0.8,121,16,1.8,1,1.9,Otro,5,7.5,10
1368,Nicholas Conley,16,Otro,West Justinbury,12,6.3,6.7,77,9,0,9,6,7,1,0.6,131,17,2.3,2.4,1.1,busquedas,2,3.7,10
1369,Andrea Ramirez,18,Otro,Gloriaville,7,5.1,7.2,52,8,2,3,10,3,1,1.8,74,12,2.9,1.3,1.7,Juego,1,6.1,9.6
1370,Luis Krueger,19,Otro,Vincentborough,9,5.8,5.4,83,10,0,3,6,3,0,1.4,104,14,0,0.5,1.2,Redes sociales,1,4.9,8.5
1371,Jeffrey Parker,15,Varon,Charlesbury,10,7.5,10,71,3,0.6,4,4,8,1,0.4,109,12,0.8,1.3,2.8,Otro,1,10,9.2
1372,Nancy Allen,16,Varon,Wileytown,12,5.1,6.9,83,1,1.5,3,1,8,1,1.7,110,10,3.4,1.5,0.7,Juego,2,6,10
1373,Nicholas Lynch,15,Mujer,Lake Jonathan,9,4.3,6.7,78,3,1.7,6,1,9,1,1.1,43,15,3.7,0.4,1.2,Educación,3,7,8.9
1374,Jennifer Hunt,13,Varon,New Hunter,9,3.3,7.4,93,10,0.8,6,1,7,1,0.1,97,19,1.9,0.8,0,Otro,10,2.4,8
1375,Maria Sullivan,19,Mujer,Garciabury,12,2.9,7,75,5,0.4,2,1,5,1,1.3,34,20,0.7,2.1,0.5,busquedas,6,5.7,6.9
1376,Linda Soto,19,Otro,West Charlesbury,7,5.4,5.4,88,0,1.1,10,9,9,1,1.5,61,17,1,2.1,1.8,Juego,5,4.9,10
1377,Raymond Flowers,17,Varon,Lake Kristybury,11,1.4,4.9,94,10,0.2,7,10,3,1,1,61,11,4,0.1,1.6,Redes sociales,5,3.2,6.5
1378,Nathan Rivera,13,Mujer,Kathleenland,7,8.5,5,53,4,0,9,1,9,0,1.2,127,16,2.8,2,0,Educación,5,5.7,10
1379,Joseph Orr,19,Varon,Joshuaberg,10,3,4.8,98,3,1.4,4,10,9,0,0,20,5,2.6,0.4,0.4,Juego,10,9.3,5
1380,Nicholas Powell,14,Varon,Lake Ashleyville,8,4.8,6.5,51,1,0.7,9,2,3,0,1.4,146,16,2,3,1.5,Otro,7,6.6,10
1381,Omar Cohen,19,Varon,Lake Jesus,10,3.3,6.8,90,4,1,6,5,2,0,1.1,36,9,0.9,0.8,0.4,busquedas,7,8,4.1
1382,Tammy Wood,15,Varon,Barbaraberg,8,4.8,4.9,91,0,3,4,10,10,0,1.3,71,8,3.9,2.9,0.8,Redes sociales,6,9.9,10
1383,David Hill,16,Mujer,East Amy,10,2.1,7.8,66,7,0,5,4,3,0,0.3,48,14,0.7,2.4,1.6,Redes sociales,2,8.2,5.1
1384,Belinda Wilkerson,16,Mujer,Evanshaven,10,6,7.1,55,2,0,9,9,10,0,0.5,134,20,1.5,2.2,0,Educación,10,4.3,10
1385,Michelle Jacobson,18,Varon,Lake Hannah,9,6.9,6.9,91,7,0,3,10,6,0,0.7,130,18,3.5,0.5,0.3,Redes sociales,1,6.3,10
1386,Deborah Rice,17,Varon,Dillonburgh,10,7.1,5.3,51,7,1.8,2,9,5,1,0.9,148,10,2,0.9,1.6,Otro,2,4.1,10
1387,Cassandra Hinton,14,Varon,Woodmouth,9,3.4,5.8,73,8,2,6,10,7,0,1.2,128,14,2.4,1.7,1.9,busquedas,4,7.8,10
1388,Jill Griffin,15,Otro,Anthonystad,12,10.1,6.2,93,6,0.9,1,2,4,1,1.3,133,20,1.5,2.1,1.2,busquedas,3,7.1,10
1389,Gregory Johnson,19,Mujer,North Samanthahaven,10,2.6,6,77,0,1.3,10,4,10,1,1.2,94,15,1.4,1.9,1.9,busquedas,9,6.7,7.8
1390,Vanessa Hernandez,16,Varon,Brownville,7,5.3,8.7,91,2,2.2,6,7,8,1,1.1,146,15,2.3,2.5,1,Otro,5,7.8,10
1391,Sophia Hawkins,13,Otro,Mccoyburgh,11,2,6.1,55,7,0,1,9,9,0,1.6,87,19,2.2,0,1.3,busquedas,4,7.1,6.7
1392,Robert Mccoy,18,Varon,Emilyland,9,5.8,6.3,95,7,1.9,1,5,1,0,1.8,123,18,2.8,2.1,0.1,Redes sociales,9,5.8,10
1393,Todd Nichols,17,Varon,Port Brettborough,10,3.3,9.1,66,9,0,1,1,8,0,0.8,27,6,2.5,1.6,1.8,Otro,10,7.2,4.6
1394,Laura Burke,17,Otro,Craigbury,12,5.9,6.6,54,10,1.6,10,10,6,1,1.1,29,12,2.2,0,0.2,Juego,5,3.5,7.8
1395,Nicole Lawrence,19,Varon,West Kristafurt,8,5.6,3.9,89,5,1.5,3,3,4,1,1,100,19,3.5,2.1,0,Educación,5,7.5,10
1396,Jamie Costa,14,Varon,Shannonside,9,5,8.7,93,8,0,7,5,2,1,1.3,119,15,1.4,2,1.5,Educación,3,5.3,9.4
1397,Taylor Mclaughlin,17,Otro,Lake James,8,4.4,5.3,55,2,1.5,3,5,7,1,0.9,120,12,2,2.1,1.5,busquedas,6,10.2,10
1398,Barry Rose,19,Varon,Williamhaven,8,1.8,4.7,87,1,0.3,2,5,10,1,0.6,24,14,2.2,0,0,Redes sociales,9,5.7,4.9
1399,John Thomas,15,Varon,Lake Lynn,12,9.4,4.1,72,8,0.4,10,8,1,0,1.2,109,12,1.4,2.7,1.3,Otro,3,7.9,10
1400,Derrick Nguyen,14,Otro,West Kaitlynview,8,7.2,6,65,1,0.7,10,7,4,1,1.4,142,12,2.4,1.5,0,Educación,10,4.9,10
1401,Katelyn Pollard,14,Varon,Littleberg,9,0.4,9,79,9,0.6,2,2,9,0,0.7,36,14,3,2,0.7,Educación,7,8.5,4.4
1402,Michael Hill,17,Mujer,Sullivanchester,11,2.3,5.6,60,6,0.7,2,5,4,0,1,149,18,0.8,1.8,0.4,Juego,1,6,8.7
1403,Tara Washington,17,Mujer,Lake Michaelview,10,6,5.4,62,6,1.1,6,6,1,1,1.1,79,20,2.1,0.6,1.2,Educación,7,5.2,10
1404,Victor Hudson,13,Varon,South Victor,12,5.7,6.2,73,6,1.5,6,3,8,0,1.4,64,20,3.5,2.3,1,Otro,8,7.4,10
1405,Stacey Cooper,17,Otro,Johnsonland,12,1.4,6.9,56,10,1.6,7,5,4,0,1.1,103,7,1.9,0,1.4,Educación,3,3.3,3.3
1406,Robert Barnes,13,Varon,Wendytown,10,5.5,7,73,10,0.5,1,4,8,1,1.1,102,16,2.8,1.4,1.8,Otro,9,2.5,10
1407,Kevin Thomas,19,Varon,Carterland,12,4.8,7.1,100,4,1.3,1,5,6,1,0.8,36,12,2.1,0,0,Educación,3,5.1,6.5
1408,Stacey Paul,15,Mujer,Caseyborough,8,6.2,7.8,57,5,1.3,9,6,5,1,0.6,75,16,2.9,0,0.4,Otro,3,5.4,9.9
1409,Dean Jones,17,Otro,Grahamtown,9,4.7,5.9,56,4,0.7,6,4,8,1,0.8,73,5,2.1,2.5,0.9,Otro,5,2,8.8
1410,Ian Mooney,19,Varon,Port Kyle,8,5.9,6.5,75,2,0.1,6,3,3,0,1.2,63,7,2.8,1.4,0.4,Otro,6,8,9.5
1411,Kenneth Brown,16,Mujer,Bennettville,10,7.3,6,96,4,1.2,4,9,7,1,1.6,118,18,1.6,2.1,1,busquedas,5,6,10
1412,Brandon Santiago,19,Mujer,Lake Huntermouth,11,0,8.8,95,10,1.9,6,1,5,1,0.6,21,18,3.6,1.4,1,busquedas,4,6.2,4.6
1413,Rodney Jones,19,Otro,Port Kathystad,10,6.1,6.5,92,7,0.7,10,10,6,0,1.2,103,17,1.5,2.4,0.6,busquedas,9,3.7,10
1414,Jeffrey Lawrence PhD,19,Mujer,New Brianport,8,5,4.3,58,6,1.3,10,3,6,0,0.1,55,12,1.5,4,2,Educación,7,6.2,10
1415,Vanessa Bennett,17,Mujer,Washingtonside,9,3.5,5.7,59,9,0.9,5,2,1,0,1.2,105,10,2.1,1.7,0.7,Juego,9,6.6,8.5
1416,Melanie Morgan,16,Mujer,Catherineshire,8,4.4,4.1,96,5,1.6,10,7,1,0,1.8,90,12,2,1,1.2,Educación,4,4.8,9.6
1417,Samantha Brown,13,Otro,East Sara,7,5.1,6.2,84,3,1,7,5,2,1,0.2,22,18,2.2,2.3,0.9,Otro,9,6.6,10
1418,David Brown,16,Varon,Oconnorstad,11,6.7,5.8,52,0,1,9,10,6,1,1,43,16,2.5,1.6,0.8,Otro,9,5.5,10
1419,Whitney Sanchez,17,Mujer,West Danieltown,9,8.9,7.2,87,9,1.4,3,2,5,1,1.4,21,7,2.6,1.3,0.8,Educación,4,5.9,10
1420,Ashley Wagner,14,Otro,New Steven,8,3.9,8.8,80,3,0.1,10,3,1,1,0.8,81,20,3.2,1.5,1.7,Redes sociales,2,5,9.8
1421,Aaron Leon,19,Mujer,Bethton,9,6.3,7.9,76,3,2,9,2,9,1,0.7,140,20,2.8,2.6,0,Juego,9,8.4,10
1422,Christopher Preston,15,Varon,North Maryhaven,12,5.2,3,54,5,1.8,6,2,6,0,1.3,95,12,1.4,2.8,1.1,busquedas,2,8.9,10
1423,Mark Edwards,17,Varon,Robinsonmouth,11,1.6,5.8,79,4,2,4,9,6,1,0.9,126,6,3.1,0.1,0,Otro,10,5.8,5.6
1424,Alicia Smith,15,Varon,West Cynthiabury,8,3.6,4.4,66,1,0.6,3,8,7,0,1.5,61,12,1.1,0.3,0.3,Juego,2,7.6,6.4
1425,Valerie Briggs,19,Otro,South Brett,11,3.9,6.4,87,8,1.1,4,2,6,0,0.7,82,20,2.5,1.9,1.7,Juego,2,3,10
1426,Wendy Clayton,14,Otro,East April,9,3.7,5.1,56,1,1.7,1,10,2,1,0.8,99,6,1.7,1.7,1.6,Otro,4,7.6,7.7
1427,Katelyn Walker,15,Mujer,New Johnmouth,8,6.4,5.7,50,10,0.3,5,10,4,1,0.8,117,18,3.1,2.8,2,Otro,1,1.9,10
1428,Cynthia Gallagher,15,Otro,Weberbury,10,2.7,4.7,69,10,0,1,8,4,0,1.4,59,14,1.9,1.2,1,Juego,9,5.3,7.4
1429,Darlene Pruitt,18,Mujer,Gaineshaven,7,8.7,7.6,63,1,1.2,8,10,8,0,1.7,142,16,1.3,0.1,0,Redes sociales,1,5.4,10
1430,Kyle Berry,19,Mujer,East Natalieberg,8,6.4,5.1,93,5,0.5,4,9,1,1,1.5,112,13,1,1,0,Otro,10,7.4,10
1431,Cynthia Shaffer,16,Varon,Lancestad,11,6.7,9.9,54,1,0.9,9,10,10,1,0.8,43,17,2.9,1,0,Educación,3,8.7,9.9
1432,Alfred Schmidt,14,Varon,East Seantown,8,8,5,60,7,0.7,4,2,10,1,0.7,127,6,1.9,2.2,0.6,busquedas,2,5.2,10
1433,Matthew Smith,16,Varon,East Stephanieton,8,6.1,4.9,50,6,1,3,3,9,1,1.1,25,6,2.4,1.6,0,Juego,10,2.5,9.3
1434,Isaac Keller,17,Mujer,South Melissafurt,10,5.4,3,76,0,1.7,9,8,8,1,0.9,58,8,1.2,3.1,0,Juego,9,4.3,10
1435,John Smith,17,Otro,West Courtney,9,5.3,5.7,75,9,0,5,8,10,1,1.9,33,6,2.2,1,2.1,Juego,9,7.5,7.5
1436,James Green DVM,19,Varon,Mcintoshview,7,7.2,6.1,59,7,1.7,6,5,8,1,1.5,88,14,2.2,3.1,0.4,Redes sociales,4,9.3,10
1437,Emily Meyer,16,Otro,Jesseport,7,4.1,6.8,92,10,2.5,5,8,10,0,1.3,24,7,2.1,1.2,0.8,busquedas,5,6.7,5.9
1438,Jaime Cisneros,18,Varon,Lake Jessicamouth,8,4.7,6.5,96,1,1,1,5,10,0,0.9,118,20,3.1,2.6,1.7,busquedas,3,6.6,10
1439,Melissa Kent,15,Otro,Dalehaven,11,3,7.7,71,1,0.5,9,10,3,0,1,21,20,2.9,1.8,0,busquedas,7,3.8,8.3
1440,Janice Fisher,17,Mujer,North Stevestad,12,4.9,9.1,90,9,0.2,5,5,10,1,1.4,47,13,2.5,3,0.8,busquedas,6,5.4,9.4
1441,Robert Russo,18,Otro,Markville,12,5.6,7.8,53,0,1.2,8,5,1,0,0.5,65,9,3.5,1.4,0.3,Juego,8,1.6,9.7
1442,Becky Newman,17,Varon,New Joshua,7,4.6,8.4,93,7,0.8,9,5,1,0,0.6,25,8,2.9,1.1,1.3,Educación,4,4.6,6.5
1443,Joseph Stevenson,15,Otro,New John,8,5.4,7.5,94,7,0.5,3,10,2,1,0.3,57,13,1.7,1,1.2,Juego,2,4.6,8.1
1444,Jessica Jackson,15,Varon,Ericaborough,10,7,5.7,90,10,0.4,8,10,7,0,1.2,117,7,5,0.1,2.2,Redes sociales,6,2.8,10
1445,Alicia Williams,16,Otro,Lake Frank,11,7.3,4.9,58,2,0.7,10,4,7,0,0.6,42,17,3.4,2.1,0.6,Juego,1,4.7,10
1446,Christian Klein,14,Otro,Mitchellshire,11,7.4,6.2,69,8,0.7,9,6,3,0,1.6,75,14,3.1,0.3,0.8,Educación,2,9.4,10
1447,Tara Martinez,18,Varon,Guzmanshire,12,4.5,8.6,57,4,0,2,9,7,1,0.9,109,12,4.3,1.9,0.8,Otro,6,5.5,10
